iter	RMSE
0	1.555033665
1	1.540958235
2	1.527438621
3	1.513739842
4	1.500334276
5	1.486730869
6	1.47372348
7	1.460544142
8	1.447823367
9	1.435065304
10	1.422479105
11	1.409981576
12	1.397539681
13	1.385387656
14	1.373256529
15	1.360925319
16	1.349176161
17	1.337417489
18	1.325739451
19	1.313973992
20	1.302401127
21	1.291076798
22	1.280054636
23	1.268785022
24	1.257847261
25	1.246913458
26	1.236034192
27	1.225634025
28	1.215068443
29	1.204600784
30	1.194233508
31	1.183897619
32	1.17404772
33	1.164080059
34	1.154294824
35	1.144324516
36	1.134536561
37	1.124839331
38	1.115304769
39	1.105876149
40	1.096549145
41	1.087398932
42	1.077838242
43	1.068798044
44	1.05976903
45	1.050931296
46	1.0421684
47	1.033203881
48	1.02442445
49	1.0156765
50	1.007227251
51	0.9985146691
52	0.9902275292
53	0.9822003165
54	0.9743591223
55	0.9661427816
56	0.9582983395
57	0.9501935648
58	0.942300541
59	0.9344559858
60	0.9269506856
61	0.9194015664
62	0.9118486546
63	0.9043006372
64	0.8967976402
65	0.8894703001
66	0.8822457541
67	0.8749468675
68	0.8680595123
69	0.8611493842
70	0.8540812261
71	0.8472212959
72	0.8402049929
73	0.8338377625
74	0.8271758647
75	0.8202890509
76	0.8136918341
77	0.8069574144
78	0.8004210104
79	0.7940051574
80	0.7875995266
81	0.7812572178
82	0.7750432524
83	0.7690872941
84	0.7630886507
85	0.7572358772
86	0.7512844422
87	0.7453314709
88	0.7395388074
89	0.7338323011
90	0.7280989662
91	0.7223754145
92	0.7168342944
93	0.7111330492
94	0.705643691
95	0.700198127
96	0.6946660866
97	0.6891854595
98	0.6839811711
99	0.678653968
100	0.6736175795
101	0.6683095033
102	0.6631883903
103	0.6582861543
104	0.6533294384
105	0.6482472432
106	0.643395096
107	0.6384028461
108	0.633804793
109	0.6288696651
110	0.6242071932
111	0.6196669139
112	0.6151654413
113	0.6104389191
114	0.605992681
115	0.6015198102
116	0.5971364334
117	0.592931381
118	0.5887128881
119	0.5843144732
120	0.5801571996
121	0.5758814083
122	0.5717380354
123	0.5676754999
124	0.5635100409
125	0.5595316036
126	0.5554119122
127	0.551396437
128	0.5475167452
129	0.5435306934
130	0.5397390113
131	0.535948268
132	0.5321620981
133	0.5283915192
134	0.5246910566
135	0.5210829459
136	0.5174395715
137	0.5137315164
138	0.5100996392
139	0.5063787684
140	0.5029227713
141	0.4995396133
142	0.4960398394
143	0.492583992
144	0.4892482615
145	0.4859866492
146	0.4827735178
147	0.4795861872
148	0.4762699828
149	0.4730579571
150	0.4697489096
151	0.4666517786
152	0.4636136605
153	0.4605103339
154	0.4575671716
155	0.4546860816
156	0.4515937878
157	0.4485908767
158	0.4454968963
159	0.4425493212
160	0.4395668234
161	0.436622106
162	0.4338354221
163	0.4309577325
164	0.4282487903
165	0.4256320681
166	0.4230133299
167	0.4203897094
168	0.4177727428
169	0.4152446027
170	0.4127173788
171	0.4100709065
172	0.4075840921
173	0.4051446486
174	0.4027399937
175	0.4001978753
176	0.3978606805
177	0.3954921837
178	0.3930617198
179	0.390737404
180	0.388515705
181	0.3862725373
182	0.3839692307
183	0.3818194609
184	0.3795367961
185	0.377407972
186	0.3753009853
187	0.3731020653
188	0.370847853
189	0.3686752685
190	0.366443914
191	0.3643635065
192	0.3623308748
193	0.3603871479
194	0.3584506066
195	0.3565603951
196	0.3547229634
197	0.3528243574
198	0.3509303818
199	0.3490820374
200	0.3471066796
201	0.3453891502
202	0.3435384901
203	0.3417083352
204	0.3400064969
205	0.3381268032
206	0.3362926992
207	0.3344817521
208	0.33277376
209	0.3310675568
210	0.3293793719
211	0.3276812906
212	0.3259529676
213	0.3243593832
214	0.3227128783
215	0.321055748
216	0.3195290873
217	0.3179702436
218	0.3164185267
219	0.3148796683
220	0.3133338371
221	0.3117948069
222	0.3102258055
223	0.308722192
224	0.307275368
225	0.3059450825
226	0.3045590024
227	0.3032093733
228	0.3018061098
229	0.3003397079
230	0.2989652655
231	0.2975924949
232	0.2962444922
233	0.2949104166
234	0.2935725041
235	0.2922688469
236	0.2910675613
237	0.2897802837
238	0.2884932458
239	0.2872080983
240	0.2860588669
241	0.2849024849
242	0.2836733833
243	0.2824084599
244	0.2812685324
245	0.2801965728
246	0.2790348984
247	0.2778802411
248	0.276743801
249	0.2756018946
250	0.2745815578
251	0.27354884
252	0.2723940938
253	0.2712963643
254	0.2702495448
255	0.2691921791
256	0.268105399
257	0.2671093687
258	0.2660407887
259	0.265032917
260	0.2640104826
261	0.2630668561
262	0.2620672555
263	0.2610661939
264	0.2600485678
265	0.2590744151
266	0.2581548913
267	0.2571895888
268	0.2563026157
269	0.2554075365
270	0.2545654887
271	0.2536797873
272	0.2527913395
273	0.2519232263
274	0.25110872
275	0.2502962627
276	0.2494447439
277	0.2486141627
278	0.2478651836
279	0.247048857
280	0.2462920753
281	0.2454623089
282	0.2446170554
283	0.2438387219
284	0.2430907168
285	0.2423204734
286	0.2415794556
287	0.2408845998
288	0.2402183302
289	0.2394504456
290	0.2386881579
291	0.2379909467
292	0.2372983188
293	0.2366163556
294	0.2358747167
295	0.235122279
296	0.2345074545
297	0.2337934656
298	0.2331062173
299	0.2324392062
300	0.2318219015
301	0.2311169085
302	0.2305404405
303	0.2299231179
304	0.2292282355
305	0.2286142508
306	0.2279605572
307	0.227340708
308	0.2266782004
309	0.2260943172
310	0.2254588148
311	0.2248785424
312	0.2242997313
313	0.2236921272
314	0.2230687442
315	0.2225899053
316	0.2219957861
317	0.22145798
318	0.2209496901
319	0.2203960495
320	0.2197792864
321	0.2192605662
322	0.218713573
323	0.2182067129
324	0.2177086632
325	0.2172159436
326	0.2167386304
327	0.2161689866
328	0.2156380272
329	0.2151024351
330	0.2146758006
331	0.2141907037
332	0.2136879919
333	0.213205764
334	0.212710174
335	0.2122141993
336	0.2117621496
337	0.2112995017
338	0.2108480758
339	0.2104011887
340	0.2099584394
341	0.209496621
342	0.2090861919
343	0.2086390769
344	0.2081638252
345	0.2077335537
346	0.2072985025
347	0.2069029098
348	0.2064723029
349	0.206061044
350	0.2056128217
351	0.2052451144
352	0.2048199825
353	0.2044156608
354	0.204031536
355	0.2036220173
356	0.2032023922
357	0.2028067958
358	0.2023951787
359	0.2020016321
360	0.2016222255
361	0.2012151674
362	0.2008583024
363	0.2003992937
364	0.2000096965
365	0.1996139434
366	0.199244667
367	0.1988751804
368	0.1984861448
