iter	Passed	Remaining
0	1	1674
1	3	1534
2	4	1558
3	6	1499
4	7	1519
5	9	1539
6	10	1521
7	12	1529
8	13	1540
9	15	1560
10	17	1537
11	18	1539
12	20	1526
13	21	1507
14	22	1500
15	24	1483
16	25	1483
17	27	1488
18	28	1489
19	30	1482
20	31	1484
21	33	1473
22	34	1464
23	35	1462
24	37	1453
25	38	1454
26	40	1447
27	41	1448
28	43	1444
29	44	1436
30	45	1437
31	46	1420
32	48	1421
33	50	1425
34	51	1430
35	53	1427
36	54	1425
37	56	1429
38	57	1427
39	59	1422
40	60	1416
41	62	1417
42	63	1414
43	65	1413
44	66	1412
45	67	1408
46	69	1405
47	70	1402
48	72	1399
49	73	1397
50	75	1398
51	76	1397
52	78	1396
53	79	1393
54	81	1393
55	82	1392
56	83	1387
57	85	1386
58	86	1382
59	87	1377
60	89	1375
61	90	1373
62	92	1370
63	93	1366
64	94	1364
65	96	1365
66	98	1368
67	99	1366
68	101	1367
69	102	1366
70	104	1361
71	105	1359
72	107	1359
73	108	1359
74	110	1358
75	111	1354
76	112	1350
77	114	1348
78	115	1345
79	117	1346
80	118	1347
81	120	1347
82	122	1349
83	123	1350
84	125	1349
85	126	1348
86	128	1346
87	129	1344
88	130	1340
89	132	1341
90	134	1341
91	135	1340
92	137	1337
93	138	1334
94	139	1333
95	141	1330
96	142	1327
97	143	1324
98	145	1321
99	146	1319
100	148	1317
101	149	1314
102	150	1313
103	152	1310
104	153	1307
105	154	1307
106	156	1306
107	157	1304
108	159	1301
109	160	1302
110	162	1301
111	164	1301
112	165	1299
113	167	1299
114	169	1303
115	170	1301
116	172	1300
117	173	1298
118	175	1298
119	176	1297
120	178	1296
121	180	1295
122	181	1293
123	182	1291
124	184	1289
125	185	1286
126	186	1284
127	188	1282
128	190	1283
129	191	1281
130	193	1280
131	194	1279
132	195	1277
133	197	1277
134	199	1275
135	200	1274
136	201	1272
137	203	1271
138	204	1268
139	206	1267
140	207	1265
141	209	1262
142	210	1260
143	211	1258
144	213	1256
145	214	1254
146	215	1252
147	217	1252
148	218	1250
149	220	1247
150	221	1246
151	223	1244
152	224	1243
153	225	1240
154	227	1238
155	228	1237
156	230	1235
157	231	1234
158	233	1234
159	234	1233
160	236	1233
161	238	1231
162	239	1231
163	241	1230
164	242	1229
165	244	1228
166	246	1228
167	247	1228
168	249	1227
169	251	1228
170	252	1225
171	254	1223
172	255	1222
173	257	1220
174	258	1218
175	259	1216
176	261	1215
177	262	1214
178	264	1213
179	266	1212
180	267	1210
181	269	1209
182	270	1208
183	272	1206
184	273	1203
185	274	1201
186	275	1199
187	277	1198
188	279	1197
189	280	1197
190	282	1195
191	283	1193
192	284	1191
193	286	1190
194	288	1190
195	289	1188
196	291	1187
197	292	1186
198	294	1185
199	296	1184
200	297	1182
201	298	1180
202	300	1178
203	301	1177
204	303	1175
205	304	1174
206	306	1172
207	307	1171
208	308	1169
209	310	1167
210	311	1165
211	313	1164
212	314	1162
213	315	1160
214	317	1158
215	318	1157
216	320	1155
217	321	1153
218	322	1151
219	324	1151
220	326	1149
221	327	1149
222	329	1148
223	331	1147
224	332	1145
225	333	1143
226	335	1143
227	337	1142
228	338	1140
229	340	1139
230	341	1138
231	343	1138
232	345	1137
233	346	1135
234	348	1133
235	349	1132
236	351	1131
237	353	1130
238	354	1129
239	356	1128
240	357	1127
241	359	1125
242	360	1124
243	362	1121
244	363	1120
245	364	1118
246	366	1118
247	368	1116
248	370	1115
249	371	1114
250	373	1113
251	374	1112
252	376	1110
253	377	1109
254	379	1108
255	380	1106
256	382	1104
257	383	1102
258	384	1101
259	386	1100
260	387	1098
261	389	1096
262	391	1096
263	392	1095
264	394	1093
265	395	1092
266	397	1091
267	398	1089
268	400	1088
269	401	1086
270	403	1085
271	405	1084
272	406	1082
273	408	1081
274	409	1079
275	410	1077
276	412	1076
277	413	1074
278	415	1074
279	417	1072
280	418	1070
281	419	1068
282	420	1066
283	422	1065
284	424	1065
285	426	1063
286	427	1062
287	428	1060
288	430	1058
289	432	1057
290	433	1056
291	435	1055
292	437	1054
293	438	1053
294	440	1052
295	442	1051
296	443	1050
297	445	1049
298	446	1047
299	448	1045
300	449	1043
301	450	1042
302	452	1040
303	453	1039
304	455	1037
305	456	1036
306	458	1034
307	459	1033
308	461	1031
309	462	1029
310	463	1027
311	464	1025
312	466	1023
313	467	1021
314	469	1020
315	470	1018
316	472	1017
317	473	1016
318	475	1014
319	476	1013
320	478	1011
321	479	1009
322	481	1008
323	482	1006
324	483	1004
325	485	1003
326	487	1002
327	488	1000
328	489	998
329	491	998
330	493	997
331	494	995
332	496	993
333	497	992
334	499	991
335	501	990
336	502	989
337	504	987
338	505	985
339	507	984
340	508	983
341	510	981
342	511	979
343	512	977
344	514	976
345	516	975
346	517	973
347	519	972
348	520	971
349	522	970
350	524	969
351	526	968
352	527	966
353	528	965
354	530	963
355	531	961
356	533	960
357	534	958
358	536	957
359	537	955
360	539	954
361	540	952
362	541	950
363	543	949
364	544	947
365	546	946
366	547	944
367	549	943
368	550	941
369	552	940
370	553	939
371	555	937
372	556	935
373	557	933
374	559	932
375	560	930
376	562	929
377	564	928
378	565	927
379	567	925
380	568	924
381	570	922
382	571	920
383	572	918
384	574	917
385	575	915
386	577	914
387	579	913
388	580	911
389	582	910
390	583	909
391	585	907
392	586	905
393	587	903
394	589	902
395	590	900
396	592	899
397	593	897
398	594	896
399	596	894
400	597	893
401	599	892
402	600	890
403	602	888
404	603	887
405	605	885
406	606	884
407	608	882
408	609	881
409	610	879
410	612	877
411	614	876
412	615	874
413	617	873
414	618	871
415	620	870
416	621	869
417	623	867
418	624	866
419	625	864
420	627	862
421	628	861
422	630	859
423	631	857
424	632	855
425	634	854
426	636	853
427	637	852
428	639	850
429	640	849
430	641	847
431	643	845
432	644	843
433	645	842
434	647	840
435	648	839
436	650	838
437	652	836
438	653	834
439	654	833
440	656	831
441	657	830
442	658	828
443	660	826
444	661	825
445	662	823
446	665	822
447	666	821
448	667	819
449	669	818
450	671	817
451	672	815
452	674	814
453	675	812
454	677	811
455	678	809
456	680	808
457	681	807
458	683	805
459	684	804
460	686	802
461	688	801
462	689	799
463	690	797
464	692	796
465	693	794
466	694	793
467	696	791
468	697	790
469	699	788
470	700	787
471	702	785
472	703	783
473	704	782
474	706	780
475	708	779
476	709	778
477	711	777
478	713	775
479	714	774
480	716	772
481	717	771
482	719	770
483	721	768
484	722	767
485	724	766
486	725	764
487	726	762
488	728	761
489	730	759
490	731	758
491	732	756
492	734	755
493	735	753
494	737	752
495	738	750
496	739	748
497	741	747
498	743	746
499	744	744
500	746	743
501	747	741
502	749	740
503	751	739
504	752	738
505	754	736
506	756	735
507	757	733
508	759	732
509	761	731
510	762	730
511	764	728
512	765	726
513	767	725
514	768	723
515	769	722
516	771	721
517	773	719
518	774	718
519	776	716
520	777	714
521	779	713
522	780	712
523	782	710
524	783	709
525	785	707
526	786	706
527	788	704
528	789	703
529	791	701
530	792	700
531	794	698
532	795	697
533	797	695
534	798	694
535	800	692
536	801	691
537	803	689
538	805	688
539	806	687
540	808	685
541	809	683
542	810	682
543	811	680
544	813	679
545	814	677
546	815	675
547	817	674
548	818	672
549	820	671
550	821	669
551	823	668
552	824	666
553	826	665
554	828	663
555	829	662
556	830	660
557	832	659
558	833	657
559	835	656
560	836	654
561	837	653
562	839	651
563	840	650
564	842	648
565	844	647
566	845	645
567	846	644
568	848	642
569	850	641
570	851	639
571	852	638
572	854	636
573	855	634
574	857	633
575	858	632
576	860	630
577	862	629
578	864	628
579	865	626
580	867	625
581	868	623
582	870	622
583	871	620
584	873	619
585	874	617
586	875	616
587	877	614
588	878	613
589	880	611
590	881	610
591	883	608
592	884	607
593	886	605
594	888	604
595	889	602
596	890	601
597	892	600
598	894	598
599	895	596
600	896	595
601	898	593
602	899	592
603	901	591
604	902	589
605	904	587
606	905	586
607	907	584
608	908	583
609	909	581
610	911	580
611	912	578
612	913	576
613	915	575
614	916	573
615	918	572
616	920	571
617	921	569
618	923	568
619	924	566
620	926	565
621	927	563
622	929	562
623	930	560
624	932	559
625	934	558
626	936	556
627	938	555
628	939	554
629	941	552
630	943	551
631	944	550
632	946	548
633	948	547
634	949	545
635	950	544
636	952	542
637	953	540
638	954	539
639	956	537
640	957	536
641	958	534
642	960	533
643	961	531
644	962	530
645	964	528
646	965	526
647	966	525
648	968	523
649	969	522
650	971	520
651	972	519
652	974	517
653	975	516
654	976	514
655	978	513
656	980	511
657	981	510
