Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-01-01 00:00:00,974243.6662421194,987855.0993080018,1010062.1476703773,995816.9942424314,965573.8413897463,963025.2313086836,1001070.9233244143,985953.3521476545
2019-01-01 01:00:00,951692.8160257271,968266.1152709761,990040.5160393404,973537.9723936433,943565.4951467247,939284.7970200409,979256.9379314621,962978.7895135772
2019-01-01 02:00:00,937421.5775676119,954762.8869955055,976307.1379056969,956823.4385015732,927535.747274973,917172.7204436015,967946.8065963048,941601.2410061192
2019-01-01 03:00:00,928967.2926348909,944779.0016930669,965826.069093739,942854.3177050662,913983.5610941681,906922.8711322316,961311.623425818,926641.599491784
2019-01-01 04:00:00,923767.5424482701,938150.5473208495,958296.0115304281,931912.5704448188,902944.2914541656,899572.7068281414,956574.5614898365,916903.1194547149
2019-01-01 05:00:00,928161.5663481621,940481.8610072307,960543.9147032545,932127.5092032078,903389.2029696269,903145.8070578539,961979.5204040153,918253.8192540677
2019-01-01 06:00:00,949721.1597697039,960706.9356141612,983650.4747692071,956100.282231839,929297.9667297481,932160.6484239991,987390.014691584,943691.0988550591
2019-01-01 07:00:00,993074.395026166,1003422.1939336711,1033419.7002846018,1010189.0993465674,987575.5607419173,990405.0207731352,1037528.6113193937,999296.7808574586
2019-01-01 08:00:00,1051940.872893302,1062270.0537127997,1102165.1280105112,1085496.9532703452,1068168.6887547774,1068932.5899943758,1104019.3236726653,1077376.186174315
2019-01-01 09:00:00,1111523.6881675727,1120950.3927004996,1170126.5082413584,1159809.2505637784,1146587.3285269118,1151375.68648576,1172819.7745836307,1153516.9696066265
2019-01-01 10:00:00,1154418.9958163246,1162348.5251175978,1216966.3696635156,1210703.4861823318,1198663.8930608935,1207967.8763265738,1220862.9965101932,1205599.8277683454
2019-01-01 11:00:00,1172606.1950352427,1179054.0220368956,1234649.83478531,1229813.336234749,1216098.4209950475,1230331.177140792,1240316.996651818,1224034.0594135076
2019-01-01 12:00:00,1171719.5036753155,1176913.0053418875,1231222.1490926675,1226531.1919420904,1209935.4665994053,1227479.7608992204,1238841.148873391,1220289.5033662973
2019-01-01 13:00:00,1163657.2838706248,1168947.199874296,1222569.4347495036,1218284.0965944957,1199348.2826517732,1223114.6140891756,1227523.1585827584,1218183.170645602
2019-01-01 14:00:00,1161222.4642511054,1164963.4777570104,1219424.6920712823,1215991.8147623588,1195727.0182482502,1221993.9213474346,1226953.2157394702,1217234.5363873895
2019-01-01 15:00:00,1163206.3038422484,1165334.8265866223,1220448.1633395348,1216956.3958779874,1195530.8025184171,1224046.764888626,1230276.7351850993,1219177.1330534813
2019-01-01 16:00:00,1161655.3596401336,1163171.3736269686,1216174.3870226864,1210146.0796711945,1186768.739524207,1214726.8728789804,1226886.8971902833,1213027.4300618514
2019-01-01 17:00:00,1150510.752497317,1151655.9875392567,1198892.627347157,1187699.6101617136,1161680.5312133709,1189539.7508790833,1211389.635779336,1191036.4787424486
2019-01-01 18:00:00,1128926.9413891828,1129548.980734603,1169116.644419165,1151813.0363975235,1123623.2016344368,1150143.1319356882,1182080.0765636847,1157457.1468881532
2019-01-01 19:00:00,1101386.7703828244,1100738.6583763962,1133725.6041378216,1111718.7295290828,1082931.2222863575,1112270.8856912847,1148285.4493313073,1120326.2080124146
2019-01-01 20:00:00,1071508.1408931129,1069802.7278966573,1099153.6469888384,1075182.0320634327,1047334.450863932,1082189.4978943344,1117695.3919159982,1084422.5082075433
2019-01-01 21:00:00,1041851.2909447117,1038761.0388559673,1066980.812715511,1043314.777475518,1016804.855402565,1043013.8456776723,1088684.5498132703,1048404.5585431169
2019-01-01 22:00:00,1010473.6149654541,1007855.7774402386,1035620.0484002491,1012920.5724634822,986972.737342355,1007895.2615425285,1053828.3359545863,1019506.7442723733
2019-01-01 23:00:00,979909.0891031467,978360.0155173021,1004965.7793059344,982461.3147326654,956101.0605166006,978273.8172708217,1021687.4898664979,988782.4627169005
2019-01-02 00:00:00,953373.5081207096,950818.548577554,975292.1384258707,955212.8234711707,928037.7988679498,942568.2962782312,983577.6668173796,955716.7234486443
2019-01-02 01:00:00,933078.379855491,933242.4200444233,955778.9906416079,933559.8314798475,906185.1844603161,917874.2088710807,963723.3917256263,930792.1844166741
2019-01-02 02:00:00,919806.9809354749,922082.5593549588,943178.8105958361,918153.0239790821,890875.7839981627,897966.3838561991,949727.6433908264,914278.722973903
2019-01-02 03:00:00,912023.6691041841,914779.1671581224,934410.0991940949,906056.5086483879,878579.5908607732,888371.1917993758,938258.5555974919,905491.4070812227
2019-01-02 04:00:00,910552.1910202807,911624.9391486323,929140.8905683287,897433.6936144314,869358.6178886555,877373.0639036081,934884.6091996385,896477.6876876956
2019-01-02 05:00:00,919400.0764715985,918743.5692301578,934137.1936974947,900367.331159546,872197.3631368094,878466.1832878459,940020.3800951394,900907.2665323078
2019-01-02 06:00:00,947303.1249874647,945094.0589156596,960357.8597171842,927489.6701374329,901002.7677655534,903099.0162996963,965776.4567259963,928810.4569487891
2019-01-02 07:00:00,996413.1322399861,994591.9950071883,1013458.2320288817,985189.8387335709,962517.2422227729,960825.0074354673,1016773.3552019688,986944.494378107
2019-01-02 08:00:00,1060779.7990793355,1059865.1284212037,1085656.5753095504,1064510.0585218796,1046509.9724577612,1047427.9793470202,1089628.374226338,1065325.4518884681
2019-01-02 09:00:00,1124177.8915254045,1123934.7560631721,1157201.1008753392,1143068.0624701646,1128388.3796869717,1137777.2017819048,1164624.135828399,1141419.7208255257
2019-01-02 10:00:00,1170368.113611223,1169747.0141450416,1207828.588231074,1198248.6046990454,1183983.70570877,1198243.967640786,1216600.8834220984,1195330.5489440009
2019-01-02 11:00:00,1190998.5824607587,1190497.568851521,1229541.0853846404,1221573.7607836223,1205039.1002332924,1228056.5972034854,1242391.4740432925,1213967.0516128545
2019-01-02 12:00:00,1193393.5689957323,1192591.4184703687,1230305.3497406337,1222437.3382962144,1202601.368178754,1228235.383458798,1239089.7973281045,1218384.7699015513
2019-01-02 13:00:00,1189900.5460989547,1189102.487167892,1225834.4624227383,1218308.539476944,1195768.502277256,1221067.2049882303,1233697.3804629268,1215753.2258791227
2019-01-02 14:00:00,1190439.191968267,1189424.9984605932,1226698.622955087,1220082.4519326093,1195815.313314904,1221726.9353088592,1235589.9221447983,1216804.1583117438
2019-01-02 15:00:00,1195130.5198693976,1193484.1413179385,1231500.6354327232,1224929.0248356895,1199111.7899524518,1223447.6694264337,1239625.8064057366,1222293.4675681915
2019-01-02 16:00:00,1196468.4322364812,1194278.662078009,1230822.3720197156,1221641.7436589266,1193632.243773945,1215381.6810630467,1238469.004656322,1219361.2450898804
