Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-01-02 00:00:00,971236.8889414251,951606.1257441333,973284.411941089,1008203.9101218777,1003419.2676007866,986073.8879462434,993122.8227875673,947560.4001890661,999203.4356621254,998646.046799531,1007461.8562405684,1003778.3853007199,947845.4268624581,947724.5327410955,946935.4990753245,952194.6554198754
2019-01-02 01:00:00,953779.4481887101,932976.3990625979,952674.0453847318,990546.8902083711,984860.6346533136,968525.7235327625,975559.3764497705,925044.0667258954,979904.9796227084,978424.6263421678,984327.376759147,980984.0809491712,931421.2045282682,931075.6444307347,932083.2788415598,928384.6532215223
2019-01-02 02:00:00,934684.3717116689,922529.8492751705,935717.190209199,975231.0032056242,968545.006497571,953720.440757745,960494.3919640211,904852.8224540328,964612.613023274,961832.3584489598,965649.8922380676,962098.381232634,921745.5294663302,923014.1408508655,919294.2023257834,902151.9247929502
2019-01-02 03:00:00,923820.1889378722,914033.8358190213,925828.2181981581,963330.1720708054,954776.8358743982,942270.6268009957,948838.9566262857,896561.3579363764,953499.7810888991,950604.363224484,953011.7362057413,950141.885177932,915591.3098290955,916107.0363793423,914113.6780386996,890914.1328791641
2019-01-02 04:00:00,922248.5674499607,912256.7286077326,922253.3348795846,960072.0962092766,950294.8320553092,940328.8152505776,945966.6198257729,890253.0525465047,949966.3375926738,946967.3326607671,947674.995172648,945526.8863698437,912573.8964386046,913676.1828464912,913657.2710734629,885069.2095738662
2019-01-02 05:00:00,934842.2304094535,921592.4717002132,932638.792586903,971675.6502944806,960882.1633990455,953391.7506072334,957876.1094195512,898928.3783052767,959269.8147357182,955491.250064124,955177.7342373425,953533.695658643,921451.699408952,920334.4390403716,917282.8133878288,892216.7228864324
2019-01-02 06:00:00,966023.6534917653,944199.4255547555,961466.1733384674,1000861.0452127156,990376.1507461295,985239.6117028501,987961.1154343146,920536.1526914714,982878.2090154466,978583.1190098706,975370.9819068419,972334.7214497788,943382.5926085152,942759.6497153,939547.3130584457,909841.3969882536
2019-01-02 07:00:00,1017193.7883233057,997292.1461021313,1013350.2084386148,1047201.5070457199,1035618.7524509435,1033401.2905200596,1034844.8267742211,970820.4568645078,1018637.4890845789,1018659.4720833333,1018675.9736277864,1018691.7077913143,995506.6703985563,986283.3025610278,988819.3558005436,961888.2441101297
2019-01-02 08:00:00,1106759.4604345001,1080745.8817761226,1108756.7980184206,1121307.3156580597,1108377.4830103668,1110567.3973096702,1109516.2440570388,1066822.0180302255,1092372.0745468694,1099336.24306791,1104007.5896619393,1108514.4362464591,1066516.7416938306,1055099.2343753278,1054504.1233065089,1064416.443820856
2019-01-02 09:00:00,1184161.2059132855,1146677.949243746,1192748.2941530019,1187635.4288608187,1171241.16691217,1178324.721768466,1175263.1991196824,1150686.185022666,1158577.1834639397,1172053.6741999756,1180321.2732356323,1186771.919168793,1144819.4314911126,1118817.8549663466,1127932.7334252247,1159540.2198172568
