iter	RMSE
0	10.33407963
1	10.26245919
2	10.19355499
3	10.12894087
4	10.05380896
5	9.981517626
6	9.911077925
7	9.84726237
8	9.783025359
9	9.718341321
10	9.650386518
11	9.588974766
12	9.52523219
13	9.462369821
14	9.396314203
15	9.334747697
16	9.271457333
17	9.212119288
18	9.15076022
19	9.089420991
20	9.033557775
21	8.97769002
22	8.918111733
23	8.862416755
24	8.801303009
25	8.742582965
26	8.690405887
27	8.637498055
28	8.58717474
29	8.534793766
30	8.481692789
31	8.429453047
32	8.371289112
33	8.317877877
34	8.271457977
35	8.219693731
36	8.166502284
37	8.119370025
38	8.070084537
39	8.017058856
40	7.965065173
41	7.920017814
42	7.873724608
43	7.823922699
44	7.779003264
45	7.732298042
46	7.68195899
47	7.637085454
48	7.588813425
49	7.540840107
50	7.499750781
51	7.455307702
52	7.405836093
53	7.360479541
54	7.318060972
55	7.272418229
56	7.228882752
57	7.188129745
58	7.14658438
59	7.108581376
60	7.069377308
61	7.0257134
62	6.988906518
63	6.946724011
64	6.903123043
65	6.863126386
66	6.824269094
67	6.788744634
68	6.752649268
69	6.717477447
70	6.678307537
71	6.640904567
72	6.60310279
73	6.57089087
74	6.534098651
75	6.501788695
76	6.470010005
77	6.437620206
78	6.39919803
79	6.364366137
80	6.332841388
81	6.296299611
82	6.262453772
83	6.230841363
84	6.198364645
85	6.164532975
86	6.134405906
87	6.102553568
88	6.07480748
89	6.04564411
90	6.015959072
91	5.984125416
92	5.954261764
93	5.920274958
94	5.891872767
95	5.865432278
96	5.840080771
97	5.811698193
98	5.78265368
99	5.755472733
100	5.728981667
101	5.700750134
102	5.67044691
103	5.641980412
104	5.619124637
105	5.593911964
106	5.570173521
107	5.546042111
108	5.521727191
109	5.495558644
110	5.468014174
111	5.4444646
112	5.422764166
113	5.399564513
114	5.375964379
115	5.356497467
116	5.333057998
117	5.308830564
118	5.287976592
119	5.264117415
120	5.243124833
121	5.220472235
122	5.195440141
123	5.173602992
124	5.150769103
125	5.128033066
126	5.105485121
127	5.084872285
128	5.063670995
129	5.042549992
130	5.020971932
131	4.999319086
132	4.979840218
133	4.95846587
134	4.938052961
135	4.914834754
136	4.897548196
137	4.876343452
138	4.857209151
139	4.838107363
140	4.815888776
141	4.797744715
142	4.779764636
143	4.762932261
144	4.744514804
145	4.727041585
146	4.70947527
147	4.690919512
148	4.673959984
149	4.654910573
150	4.635880155
151	4.617755273
152	4.602004997
153	4.584662236
154	4.567287063
155	4.550467268
156	4.534423073
157	4.517920442
158	4.500366696
159	4.485027736
160	4.468924912
161	4.453089317
162	4.436566729
163	4.423744321
164	4.406901361
165	4.390479949
166	4.375921988
167	4.360708074
168	4.346847965
169	4.332677145
170	4.320051054
171	4.305025634
172	4.291114539
