model,value,runtime,sell_price,daily_revenue,disount,sell_price_w_disount,value_increase,value_w_disount,daily_revenue_w_disount,daily_profit,daily_profit_w_disount,value_fact,daily_profit_fact,value_w_disount_fact,daily_profit_w_disount_fact,inventory_left,final_profit_w_discount,final_profit_base_price,profit_increase_%,rmse,rmse_normalized
Fact,92350.0,464.02040100097656,446.96000000000004,136678.00000000003,0.23410596026490066,342.32400000000007,212.10000000000002,157930.0,172473.96080000003,109342.40000000001,125726.68080000002,92350.0,109342.40000000001,157930.0,125726.68080000002,0.0,125726.68080000002,109342.40000000001,0.14984380075798598,0.0,0.0
LGBM_14lags,92076.83101429808,311.2723984718323,446.96000000000004,136273.70990116117,0.2403973509933775,339.51200000000006,217.8,158324.1474918947,170861.5138069476,109018.96792092895,123997.56614934678,92350.0,109342.40000000001,159470.5,124021.55800000002,-1146.3525081053176,108661.19535988876,88681.33920004578,-0.006230013609644983,62.84,0.9185
LGBM_28lags,94224.05491122445,313.99113750457764,446.96000000000004,139451.6012686122,0.25,335.22,226.5,164525.23197535114,174964.74270075888,111561.28101488976,126265.27403605494,92350.0,109342.40000000001,161286.4,123444.28400000001,3238.831975351133,108789.13474527688,90328.41465805598,-0.005059933335312984,64.1,0.937
LGBM_2lags,86953.5237804849,299.08347034454346,446.96000000000004,128691.21519511768,0.23245033112582783,343.064,210.60000000000002,147515.4843600802,160907.87727803385,102952.97215609414,117243.29390745009,92350.0,109342.40000000001,156391.6,124659.36400000002,-8876.115639919797,100997.02771843536,78610.03177419324,-0.07632329527762922,92.1,1.347
LGBM_7lags,91492.66053945449,325.3129405975342,446.96000000000004,135409.13759839267,0.2552980132450331,332.85200000000003,231.3,161667.34693759485,169911.74433328162,108327.31007871413,122058.20963975354,92350.0,109342.40000000001,163761.1,123080.48520000002,-2093.7530624051687,106960.50883144044,87427.68245646403,-0.021783783496242687,65.6,0.959
Naive daily,92342.0,473.0432391166687,446.96000000000004,136666.16000000003,0.2403973509933775,339.51200000000006,217.8,159515.6,172806.54640000002,109332.92800000001,125589.92880000002,92350.0,109342.40000000001,158951.5,125755.14120000003,564.1000000000006,102424.58400000002,79768.95120000001,-0.06326746074715747,115.8,1.693
Naive weekly,92462.0,464.02040100097656,446.96000000000004,136843.76,0.2433774834437086,338.18000000000006,220.5,159794.9,173462.20120000004,109475.00800000002,126162.91080000001,92350.0,109342.40000000001,159625.9,125901.95720000002,169.00000000000063,108438.87480000002,86917.61760000001,-0.008263264753654475,68.44,1.0
RF_14lags,92579.82664995409,283.454195022583,446.96000000000004,137018.14344193207,0.22483443708609274,346.4680000000001,203.70000000000002,154441.7500484589,171864.40916760577,109614.51475354566,126149.65115326193,92350.0,109342.40000000001,153950.80000000002,125861.98240000002,490.95004845890276,111097.24829272683,91097.53791056314,0.01604911079989848,58.72,0.8584
RF_28lags,92571.47172472219,286.71914434432983,446.96000000000004,137005.77815258884,0.24668874172185432,336.70000000000005,223.5,161323.45697625465,172644.9929778726,109604.62252207108,124893.24971290123,92350.0,109342.40000000001,160868.80000000002,124623.45920000003,454.6569762546493,109561.01394961629,89896.75245852928,0.001999352031931616,58.8,0.8594
RF_2lags,88108.70520734256,282.5159316062927,446.96000000000004,130400.88370686701,0.2410596026490066,339.21600000000007,218.4,150726.16640762592,163898.73665139326,104320.7069654936,119283.79139473599,92350.0,109342.40000000001,158320.9,125141.11880000003,-7594.733592374082,101903.09006802605,78428.90346196062,-0.06803682681168471,94.56,1.382
RF_7lags,91994.18369520639,284.4483323097229,446.96000000000004,136151.39186890548,0.24139072847682122,339.06800000000004,218.70000000000002,157495.124872087,171469.37796268816,108921.11349512439,124850.8210005504,92350.0,109342.40000000001,158741.80000000002,125116.26960000001,-1246.6751279129915,109564.46962262549,88886.78457985229,0.0020309561764281776,64.9,0.9478
RegressionModelCov,92038.38851132742,304.3248858451843,446.96000000000004,136216.8149967646,0.23013245033112584,344.1,208.50000000000003,154455.2996898943,171125.56601964633,108973.45199741168,125406.79731143762,92350.0,109342.40000000001,155046.7,125900.89160000002,-591.4003101057014,108897.27215709293,87651.85872612307,-0.004070953654822656,67.5,0.987
Regression_14lags,93005.28152255675,285.3611068725586,446.96000000000004,137647.816653384,0.24304635761589405,338.32800000000003,220.20000000000002,161021.63558596172,171912.8496969578,110118.25332270721,124250.44556351312,92350.0,109342.40000000001,160253.2,123399.44000000002,768.4355859617044,109630.42362624276,91315.0622953949,0.0026341439939378476,58.56,0.856
Regression_28lags,93180.31440279903,304.1998896598816,446.96000000000004,137906.8653161426,0.2456953642384106,337.14400000000006,222.60000000000002,161696.28374600472,174644.45584958,110325.49225291406,126782.3558607626,92350.0,109342.40000000001,160675.6,125668.30960000002,1020.6837460047043,110665.88817875493,89964.38300686238,0.012104071053451577,63.62,0.93
Regression_2lags,87823.59346488076,292.9933624267578,446.96000000000004,129978.91832802354,0.2586092715231788,331.37200000000007,234.3,155799.56337822851,162682.66266910333,103983.13466241883,116565.99190914768,92350.0,109342.40000000001,164328.7,122198.84920000003,-8529.1366217715,99645.2936363989,77799.88682868503,-0.08868569158534209,91.44,1.336
Regression_7lags,92352.69902517986,308.9427604675293,446.96000000000004,136681.99455726618,0.24834437086092714,335.96000000000004,225.0,161683.00881003938,171020.94162783443,109345.59564581295,123162.77102006276,92350.0,109342.40000000001,161467.0,123156.36480000002,216.00881003938116,108420.46818667049,89925.17645402376,-0.008431603964514372,63.0,0.9204
Theta,92799.66845114867,483.40006589889526,446.96000000000004,137343.50930770003,0.24503311258278146,337.44000000000005,222.0,161106.22791160227,172261.28370847693,109874.80744616003,124573.84024664263,92350.0,109342.40000000001,159584.8,124103.38720000001,1521.4279116022803,111254.7929923733,93324.92594606886,0.017489948934478243,54.9,0.8027
